ANIO,NUMERO_MES,MES,TIPO_ACCIDENTE,ID_ESTADO,ESTADO,ID_MUNICIPIO,NOMBRE_MUNICIPIO,TOTAL_ACCIDENTES,SUMA_MUERTOS,SUMA_HERIDOS
2012,9,Septiembre,Colisión con motocicleta,26,Sonora,30,Hermosillo,13,0,11
2012,9,Septiembre,Colisión con objeto fijo,26,Sonora,30,Hermosillo,13,0,1
2012,9,Septiembre,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,13,1,12
2012,9,Septiembre,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,91,2,59
2012,9,Septiembre,Volcadura,26,Sonora,30,Hermosillo,1,0,0
2012,10,Octubre,Caída de pasajero,26,Sonora,30,Hermosillo,2,0,2
2012,10,Octubre,Colisión con ciclista,26,Sonora,30,Hermosillo,10,1,10
2012,10,Octubre,Colisión con motocicleta,26,Sonora,30,Hermosillo,15,0,15
2012,10,Octubre,Colisión con objeto fijo,26,Sonora,30,Hermosillo,26,0,8
2012,10,Octubre,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,19,0,21
2012,10,Octubre,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,112,3,80
2012,10,Octubre,Volcadura,26,Sonora,30,Hermosillo,2,0,1
2012,11,Noviembre,Caída de pasajero,26,Sonora,30,Hermosillo,1,0,1
2012,11,Noviembre,Colisión con ciclista,26,Sonora,30,Hermosillo,7,0,8
2012,11,Noviembre,Colisión con motocicleta,26,Sonora,30,Hermosillo,10,0,12
2012,11,Noviembre,Colisión con objeto fijo,26,Sonora,30,Hermosillo,17,0,5
2012,11,Noviembre,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,19,1,19
2012,11,Noviembre,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,107,0,85
2012,11,Noviembre,Salida del camino,26,Sonora,30,Hermosillo,2,0,2
2012,11,Noviembre,Volcadura,26,Sonora,30,Hermosillo,3,0,0
2012,12,Diciembre,Caída de pasajero,26,Sonora,30,Hermosillo,2,0,3
2012,12,Diciembre,Colisión con ciclista,26,Sonora,30,Hermosillo,9,1,8
2012,12,Diciembre,Colisión con motocicleta,26,Sonora,30,Hermosillo,14,2,12
2012,12,Diciembre,Colisión con objeto fijo,26,Sonora,30,Hermosillo,33,1,7
2012,12,Diciembre,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,12,0,13
2012,12,Diciembre,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,124,0,83
2012,12,Diciembre,Volcadura,26,Sonora,30,Hermosillo,10,1,15
2013,1,Enero,Caída de pasajero,26,Sonora,30,Hermosillo,2,0,2
2013,1,Enero,Colisión con ciclista,26,Sonora,30,Hermosillo,7,0,7
2013,1,Enero,Colisión con motocicleta,26,Sonora,30,Hermosillo,11,0,7
2013,1,Enero,Colisión con objeto fijo,26,Sonora,30,Hermosillo,21,0,11
2013,1,Enero,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,14,0,16
2013,1,Enero,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,99,0,70
2013,1,Enero,Salida del camino,26,Sonora,30,Hermosillo,2,0,0
2013,1,Enero,Volcadura,26,Sonora,30,Hermosillo,1,0,0
